timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699445125067,9073,MyFirstTest,200,OK,Thread Group 1-1,text,true,,68311,285,5,5,https://valleyroad.citam.org/live-service-today/,7099,0,5053
1699445125067,7104,MyFirstTest-0,301,Moved Permanently,Thread Group 1-1,text,true,,351,142,5,5,https://valleyroad.citam.org/live-service-today,7099,0,5053
1699445132172,1968,MyFirstTest-1,200,OK,Thread Group 1-1,text,true,,67960,143,5,5,https://valleyroad.citam.org/live-service-today/,1942,0,0
1699445129031,5181,MyFirstTest,200,OK,Thread Group 1-5,text,true,,68311,285,4,4,https://valleyroad.citam.org/live-service-today/,3156,0,1088
1699445129031,3156,MyFirstTest-0,301,Moved Permanently,Thread Group 1-5,text,true,,351,142,4,4,https://valleyroad.citam.org/live-service-today,3156,0,1088
1699445132188,2024,MyFirstTest-1,200,OK,Thread Group 1-5,text,true,,67960,143,4,4,https://valleyroad.citam.org/live-service-today/,1985,0,0
1699445128032,6217,MyFirstTest,200,OK,Thread Group 1-4,text,true,,68311,285,3,3,https://valleyroad.citam.org/live-service-today/,4291,0,2087
1699445128032,4291,MyFirstTest-0,301,Moved Permanently,Thread Group 1-4,text,true,,351,142,3,3,https://valleyroad.citam.org/live-service-today,4291,0,2087
1699445132323,1926,MyFirstTest-1,200,OK,Thread Group 1-4,text,true,,67960,143,3,3,https://valleyroad.citam.org/live-service-today/,1892,0,0
1699445127032,7372,MyFirstTest,200,OK,Thread Group 1-3,text,true,,68311,285,2,2,https://valleyroad.citam.org/live-service-today/,5130,0,3087
1699445127032,5139,MyFirstTest-0,301,Moved Permanently,Thread Group 1-3,text,true,,351,142,2,2,https://valleyroad.citam.org/live-service-today,5130,0,3087
1699445132172,2232,MyFirstTest-1,200,OK,Thread Group 1-3,text,true,,67960,143,2,2,https://valleyroad.citam.org/live-service-today/,2202,0,0
1699445126031,8718,MyFirstTest,200,OK,Thread Group 1-2,text,true,,68311,285,1,1,https://valleyroad.citam.org/live-service-today/,6378,0,4089
1699445126031,6378,MyFirstTest-0,301,Moved Permanently,Thread Group 1-2,text,true,,351,142,1,1,https://valleyroad.citam.org/live-service-today,6378,0,4089
1699445132409,2340,MyFirstTest-1,200,OK,Thread Group 1-2,text,true,,67960,143,1,1,https://valleyroad.citam.org/live-service-today/,2316,0,0
